datasheet_id,project_code,trap_unique_id,location_name,site,utm_easting,utm_northing,latitude,longitude,trap_style,trapping_year,trapping_month,season,start_datetime,end_datetime,elapsed_time_hours,target,prev_capture,usgs_id,cam_name,bait,trap_condition,foil_crush,comments,observers,doi_id,tegu_mass_g,tegu_svl_mm,tegu_tl_mm,sex,tail_regen,proof2_questions,source_file,source_sheet,source_year,row_number
,TEGUTRAP2019,0,111.19,C-111SE,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,22
,TEGUTRAP2019,0,111.20,C-111SE,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,23
,TEGUTRAP2019,0,111.21,C-111SE,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,24
,TEGUTRAP2019,0,111.22,C-111SE,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,25
,TEGUTRAP2019,0,111.23,C-111SE,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,26
,TEGUTRAP2019,0,111.25,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,27
,TEGUTRAP2019,0,111.25.1,C-111SW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,28
,TEGUTRAP2019,0,111.26,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,29
,TEGUTRAP2019,0,111.27,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,30
,TEGUTRAP2019,0,111.28,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,31
,TEGUTRAP2019,0,111.29,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,32
,TEGUTRAP2019,0,111.30,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,33
,TEGUTRAP2019,0,111.31,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,34
,TEGUTRAP2019,0,111.32,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,35
,TEGUTRAP2019,0,111.33,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,36
,TEGUTRAP2019,0,111.34,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,37
,TEGUTRAP2019,0,111.35,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,38
,TEGUTRAP2019,0,111.36,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,39
,TEGUTRAP2019,0,111.37,C-111EW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,40
,TEGUTRAP2019,0,111.38,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,41
,TEGUTRAP2019,0,111.39,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,42
,TEGUTRAP2019,0,111.40,C-111SE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,43
,TEGUTRAP2019,0,111.41,C-111SE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,44
,TEGUTRAP2019,0,111.44,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,45
,TEGUTRAP2019,0,111.45,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,46
,TEGUTRAP2019,0,111.46,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,47
,TEGUTRAP2019,0,111.47,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,0,0,NA,Missing,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,48
,TEGUTRAP2019,0,111.48,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,49
,TEGUTRAP2019,0,111.49,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,50
,TEGUTRAP2019,0,111.50,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,51
,TEGUTRAP2019,0,111.51.1,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,52
,TEGUTRAP2019,0,111.52,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,53
,TEGUTRAP2019,0,111.53,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,54
,TEGUTRAP2019,0,111.54,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,55
,TEGUTRAP2019,0,111.55,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,56
,TEGUTRAP2019,0,111.56,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,57
,TEGUTRAP2019,0,111.57,C-111N,,,,,SL,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,58
,TEGUTRAP2019,0,11E.01,C-111EE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,59
,TEGUTRAP2019,0,11E.02,C-111EE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,60
,TEGUTRAP2019,0,11E.03,C-111EE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,61
,TEGUTRAP2019,0,11E.04,C-111EE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,62
,TEGUTRAP2019,0,11E.05,C-111EE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,63
,TEGUTRAP2019,0,11E.06,C-111EE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,64
,TEGUTRAP2019,0,11E.07,C-111EE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,65
,TEGUTRAP2019,0,11E.08,C-111EE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,66
,TEGUTRAP2019,0,11E.09,C-111EE,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,67
,TEGUTRAP2019,0,11E.10,C-111EE,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,68
,TEGUTRAP2019,0,11E.11,C-111EW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,69
,TEGUTRAP2019,0,11E.12,C-111EW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,70
,TEGUTRAP2019,0,11E.13,C-111EW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,71
,TEGUTRAP2019,0,11E.14,C-111EW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,72
,TEGUTRAP2019,0,11E.15,C-111EW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,73
,TEGUTRAP2019,0,11E.16,C-111EW,,,,,SM,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,74
,TEGUTRAP2019,0,11E.17,C-111EW,,,,,XS2DM2,,,,,2019-02-19T00:00:00Z,0,,,,NA,1,1,NA,NA,MMC; ACW,,,,,,,,2019 TRAP DATABASE.xlsx,LIVE TEGUTRAP2019,2019,75
